# Time,    neckLengthIntegrate,    neckLengthFormula
0.002371,    0.218368,    0.317758
0.002375,    0.218387,    0.317793
0.002379,    0.218407,    0.317829
0.002383,    0.218427,    0.317864
0.002388,    0.218446,    0.317899
0.002392,    0.218466,    0.317934
0.002396,    0.218485,    0.317969
0.002400,    0.218505,    0.318004
0.002404,    0.218524,    0.318039
0.002408,    0.218544,    0.318074
0.002413,    0.218563,    0.318109
0.002417,    0.218582,    0.318144
0.002421,    0.218602,    0.318179
0.002425,    0.218621,    0.318214
0.002429,    0.218641,    0.318249
0.002433,    0.218660,    0.318284
0.002438,    0.218679,    0.318318
0.002442,    0.218698,    0.318353
0.002446,    0.218718,    0.318388
0.002450,    0.218737,    0.318423
0.002454,    0.218756,    0.318457
0.002458,    0.218775,    0.318492
0.002463,    0.218794,    0.318526
0.002467,    0.218814,    0.318561
0.002471,    0.218833,    0.318595
0.002475,    0.218852,    0.318630
0.002479,    0.218871,    0.318664
0.002483,    0.218890,    0.318699
0.002488,    0.218909,    0.318733
0.002492,    0.218928,    0.318767
0.002496,    0.218947,    0.318802
0.002500,    0.218966,    0.318836
0.002504,    0.218985,    0.318870
0.002508,    0.219004,    0.318905
0.002513,    0.219023,    0.318939
0.002517,    0.219042,    0.318973
0.002521,    0.219060,    0.319007
0.002525,    0.219079,    0.319041
0.002529,    0.219098,    0.319075
0.002533,    0.219117,    0.319109
0.002538,    0.219136,    0.319143
0.002542,    0.219154,    0.319177
0.002546,    0.219173,    0.319211
0.002550,    0.219192,    0.319245
0.002554,    0.219211,    0.319279
0.002558,    0.219229,    0.319313
0.002563,    0.219248,    0.319346
0.002567,    0.219267,    0.319380
0.002571,    0.219285,    0.319414
0.002575,    0.219304,    0.319448
0.002579,    0.219322,    0.319481
0.002583,    0.219341,    0.319515
0.002588,    0.219359,    0.319549
0.002592,    0.219378,    0.319582
0.002596,    0.219396,    0.319616
0.002600,    0.219415,    0.319649
0.002604,    0.219433,    0.319683
0.002608,    0.219452,    0.319716
0.002613,    0.219470,    0.319750
0.002617,    0.219489,    0.319783
0.002621,    0.219507,    0.319816
0.002625,    0.219525,    0.319850
0.002629,    0.219544,    0.319883
0.002633,    0.219562,    0.319916
0.002638,    0.219580,    0.319950
0.002642,    0.219599,    0.319983
0.002646,    0.219617,    0.320016
0.002650,    0.219635,    0.320049
0.002654,    0.219653,    0.320082
0.002658,    0.219672,    0.320116
0.002663,    0.219690,    0.320149
0.002667,    0.219708,    0.320182
0.002671,    0.219726,    0.320215
0.002675,    0.219744,    0.320248
0.002679,    0.219762,    0.320281
0.002683,    0.219780,    0.320313
0.002688,    0.219798,    0.320346
0.002692,    0.219817,    0.320379
0.002696,    0.219835,    0.320412
0.002700,    0.219853,    0.320445
0.002704,    0.219871,    0.320478
0.002708,    0.219889,    0.320510
0.002713,    0.219907,    0.320543
0.002717,    0.219924,    0.320576
0.002721,    0.219942,    0.320608
0.002725,    0.219960,    0.320641
0.002729,    0.219978,    0.320674
0.002733,    0.219996,    0.320706
0.002738,    0.220014,    0.320739
0.002742,    0.220032,    0.320771
0.002746,    0.220050,    0.320804
0.002750,    0.220067,    0.320836
0.002754,    0.220085,    0.320869
0.002758,    0.220103,    0.320901
0.002763,    0.220121,    0.320933
0.002767,    0.220138,    0.320966
0.002771,    0.220156,    0.320998
0.002775,    0.220174,    0.321030
0.002779,    0.220191,    0.321063
0.002783,    0.220209,    0.321095
0.002788,    0.220227,    0.321127
0.002792,    0.220244,    0.321159
0.002796,    0.220262,    0.321191
0.002800,    0.220279,    0.321223
0.002804,    0.220297,    0.321255
0.002808,    0.220315,    0.321288
0.002813,    0.220332,    0.321320
0.002817,    0.220350,    0.321352
0.002821,    0.220367,    0.321384
0.002825,    0.220385,    0.321415
0.002829,    0.220402,    0.321447
0.002833,    0.220419,    0.321479
0.002838,    0.220437,    0.321511
0.002842,    0.220454,    0.321543
0.002846,    0.220472,    0.321575
0.002850,    0.220489,    0.321606
0.002854,    0.220506,    0.321638
0.002858,    0.220524,    0.321670
0.002863,    0.220541,    0.321702
0.002867,    0.220558,    0.321733
0.002871,    0.220576,    0.321765
0.002875,    0.220593,    0.321797
0.002879,    0.220610,    0.321828
0.002883,    0.220627,    0.321860
0.002888,    0.220645,    0.321891
0.002892,    0.220662,    0.321923
0.002896,    0.220679,    0.321954
0.002900,    0.220696,    0.321986
0.002904,    0.220713,    0.322017
0.002908,    0.220730,    0.322048
0.002913,    0.220748,    0.322080
0.002917,    0.220765,    0.322111
0.002921,    0.220782,    0.322142
0.002925,    0.220799,    0.322174
0.002929,    0.220816,    0.322205
0.002933,    0.220833,    0.322236
0.002938,    0.220850,    0.322267
0.002942,    0.220867,    0.322298
0.002946,    0.220884,    0.322330
0.002950,    0.220901,    0.322361
0.002954,    0.220918,    0.322392
0.002958,    0.220935,    0.322423
0.002963,    0.220952,    0.322454
0.002967,    0.220969,    0.322485
0.002971,    0.220985,    0.322516
0.002975,    0.221002,    0.322547
0.002979,    0.221019,    0.322578
0.002983,    0.221036,    0.322609
0.002988,    0.221053,    0.322640
0.002992,    0.221070,    0.322670
0.002996,    0.221086,    0.322701
0.003000,    0.221103,    0.322732
0.003004,    0.221120,    0.322763
0.003008,    0.221137,    0.322793
0.003013,    0.221153,    0.322824
0.003017,    0.221170,    0.322855
0.003021,    0.221187,    0.322886
0.003025,    0.221204,    0.322916
0.003029,    0.221220,    0.322947
0.003033,    0.221237,    0.322977
0.003038,    0.221253,    0.323008
0.003042,    0.221270,    0.323038
0.003046,    0.221287,    0.323069
0.003050,    0.221303,    0.323099
0.003054,    0.221320,    0.323130
0.003058,    0.221336,    0.323160
0.003063,    0.221353,    0.323191
0.003067,    0.221369,    0.323221
0.003071,    0.221386,    0.323251
0.003075,    0.221402,    0.323282
0.003079,    0.221419,    0.323312
0.003083,    0.221435,    0.323342
0.003088,    0.221452,    0.323373
0.003092,    0.221468,    0.323403
0.003096,    0.221485,    0.323433
0.003100,    0.221501,    0.323463
0.003104,    0.221518,    0.323493
0.003108,    0.221534,    0.323524
0.003113,    0.221550,    0.323554
0.003117,    0.221567,    0.323584
0.003121,    0.221583,    0.323614
0.003125,    0.221599,    0.323644
0.003129,    0.221616,    0.323674
0.003133,    0.221632,    0.323704
0.003138,    0.221648,    0.323734
0.003142,    0.221664,    0.323764
0.003146,    0.221681,    0.323794
0.003150,    0.221697,    0.323823
0.003154,    0.221713,    0.323853
0.003158,    0.221729,    0.323883
0.003163,    0.221745,    0.323913
0.003167,    0.221762,    0.323943
0.003171,    0.221778,    0.323972
0.003175,    0.221794,    0.324002
0.003179,    0.221810,    0.324032
0.003183,    0.221826,    0.324062
0.003188,    0.221842,    0.324091
0.003192,    0.221858,    0.324121
0.003196,    0.221874,    0.324150
0.003200,    0.221890,    0.324180
0.003204,    0.221906,    0.324210
0.003208,    0.221922,    0.324239
0.003213,    0.221939,    0.324269
0.003217,    0.221954,    0.324298
0.003221,    0.221970,    0.324328
0.003225,    0.221986,    0.324357
0.003229,    0.222002,    0.324386
0.003233,    0.222018,    0.324416
0.003238,    0.222034,    0.324445
0.003242,    0.222050,    0.324474
0.003246,    0.222066,    0.324504
0.003250,    0.222082,    0.324533
0.003254,    0.222098,    0.324562
0.003258,    0.222114,    0.324592
0.003263,    0.222130,    0.324621
0.003267,    0.222145,    0.324650
0.003271,    0.222161,    0.324679
0.003275,    0.222177,    0.324708
0.003279,    0.222193,    0.324737
0.003283,    0.222209,    0.324767
0.003288,    0.222224,    0.324796
0.003292,    0.222240,    0.324825
0.003296,    0.222256,    0.324854
0.003300,    0.222271,    0.324883
0.003304,    0.222287,    0.324912
0.003308,    0.222303,    0.324941
0.003313,    0.222319,    0.324970
0.003317,    0.222334,    0.324998
0.003321,    0.222350,    0.325027
0.003325,    0.222366,    0.325056
0.003329,    0.222381,    0.325085
0.003333,    0.222397,    0.325114
0.003338,    0.222412,    0.325143
0.003342,    0.222428,    0.325171
0.003346,    0.222444,    0.325200
0.003350,    0.222459,    0.325229
0.003354,    0.222475,    0.325258
0.003358,    0.222490,    0.325286
0.003363,    0.222506,    0.325315
0.003367,    0.222521,    0.325344
0.003371,    0.222537,    0.325372
0.003375,    0.222552,    0.325401
0.003379,    0.222568,    0.325429
0.003383,    0.222583,    0.325458
0.003388,    0.222599,    0.325486
0.003392,    0.222614,    0.325515
